situacaoEmpresa,tipoEmpresa,cnpj,razaoSocial,endereco,bairro,municipio,uf,cep,telefone,motoristasHabilitados,rodoviarioAtivo,semiurbanoAtivo,fretamentoAtivo,codigoTAFfretamento,numLinhasAtivasRodoviarioInterestadual,numLinhasAtivasSemiurbanoInterestadual,numLicencasFretamento12mesesInterestadual,numLinhasAtivasRodoviarioInternacional,numLinhasAtivasSemiurbanoInternacional,numLicencasFretamento12mesesInternacional,numVeiculosTipoOnibus,numVeiculosTipoMicroOnibus,numVeiculosTipoSemiurbano,numVeiculosAtivosRodoviario,numVeiculosAtivosSemiurbano,numVeiculosAtivosFretamento,numViagensAcumAnoRodoviarioInterestadual,numViagensAcumAnoSemiurbanoInterestadual,numLicencasAcumAnoFretamentoInterestadual,numPassageirosAcumAnoRodoviarioInterestadual,numPassageirosAcumAnoSemiurbanoInterestadual,numPassageirosAcumAnoFretamentoInterestadual,numViagensAcumAnoRodoviarioInternacional,numViagensAcumAnoSemiurbanoInternacional,numLicencasAcumAnoFretamentoInternacional,numPassageirosAcumAnoRodoviarioInternacional,numPassageirosAcumAnoSemiurbanoInternacional,numPassageirosAcumAnoFretamentoInternacional,dataReferencia
ativa,nacional,05.917.434/0001-74,STAR TURISMO E TRANSPORTE LTDA - ME,RUA COSME DE SÁ PEREIRA  142,CENTRO,IGARASSU,PE,53610010,81-3543-1089,18,não,não,sim,267234,0,0,14,0,0,0,13,0,0,0,0,13,0,0,8,0,0,272,0,0,0,0,0,0,43007
ativa,nacional,05.921.606/0001-83,TRANSPORTES COLETIVOS SERRA AZUL LTDA.,Rua Érico Veríssimo - nº 60 - Alto Alegre,,CASCAVEL,PR,85805050,(45) 3902-1006,672,sim,não,não,na     ,3,0,0,0,0,0,6,0,0,6,0,0,6587,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.928.135/0001-35,P. MESQUITA & MESQUITA LTDA - ME,"RUA SANTOS DUMONT, 758",SÃO LUCAS,CÉU AZUL,PR,85840000,45-3266-1765,4,não,não,sim,415087,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43007
ativa,nacional,05.929.516/0001-39,SIQUEIRA TUR TRANSPORTE E TURISMO LTDA - ME,"RUA NORDESTINA, Nº 1950",SÃO CRISTÓVÃO,HUMAITA,AM,69800000,97-3373-2958,5,não,não,sim,137410,0,0,16,0,0,0,2,0,0,0,0,2,0,0,10,0,0,290,0,0,0,0,0,0,43007
ativa,nacional,05.932.532/0001-80,ELITEVIP SERVICE LOCAÇÃO DE VEICULOS LTDA -ME,RUA OLIVEIRA VIANA 2721,BOQUEIRAO,CURITIBA,PR,81670090,041-3377-2404,11,não,não,sim,418958,0,0,3,0,0,0,2,3,0,0,0,5,0,0,2,0,0,13,0,0,0,0,0,0,43007
ativa,nacional,05.933.111/0001-74,THW- TRANSPORTE ESCOLARES E TURISMO LTDA,"RUA SNF 08, QUADRA 06 LOTE 15 NÚMERO 42",SETOR NORTE FERROVIÁRIO II,GOIANIA,GO,74063510,62-32244689,4,não,não,sim,529526,0,0,8,0,0,0,0,1,0,0,0,1,0,0,4,0,0,44,0,0,0,0,0,0,43007
ativa,nacional,05.933.520/0001-70,NC TRANSPORTES TURÍSTICOS LTDA ME,"RUA MOCOQUINHA, 218",MOCOQUINHA,MONTE SANTO DE MINAS,MG,37968000,35-(35)3591-1804,15,não,não,sim,313641,0,0,71,0,0,0,3,0,0,0,0,3,0,0,29,0,0,1308,0,0,0,0,0,0,43007
ativa,nacional,05.936.503/0001-97,IMPERATRIZ TURISMO E TRANSPORTE LTDA,"RUA BELA VISTA, 400",JARDIM AMERICA II,VARZEA DA PALMA,MG,39260000,38-3731-3565--9976-1113,7,não,não,sim,313458,0,0,9,0,0,0,2,0,0,0,0,2,0,0,7,0,0,343,0,0,0,0,0,0,43007
ativa,nacional,05.938.009/0001-61,TWIST - RIO TRANSPORTE E TURISMO LTDA,"PRAÇA FREDERICO FELLINI, S/N LOTES 09, 10 E 11",BANGU,RIO DE JANEIRO,RJ,21720000,21-3309-3005,54,não,não,sim,333527,0,0,417,0,0,0,16,0,0,0,0,16,0,0,230,0,0,8256,0,0,0,0,0,0,43007
ativa,nacional,05.939.969/0001-46,EXPRESSO METRÓPOLIS TRANSPORTES E VIAGENS LTDA.,RUA TESTA - Nº 291 - JARDIM SÃO SEBASTIÃO,,JAGUARIUNA,SP,13820000,(19) 3837-1403,21,sim,não,sim,355039,1,0,5,0,0,0,4,0,0,3,0,2,0,0,3,1299,0,138,0,0,0,0,0,0,43007
ativa,nacional,05.947.448/0001-30,VIAÇÃO UBERABENSE LTDA,"RUA ITUIUTABA, 550",SÃO BENEDITO,UBERABA,MG,38020310,34-3334-1482--9962-3204,22,não,não,sim,313382,0,0,38,0,0,0,2,0,0,0,0,2,0,0,19,0,0,790,0,0,0,0,0,0,43007
ativa,nacional,05.949.445/0001-36,TRANSKM LOCAÇÃO DE VEICULOS LTDA - ME,"RUA DIOSCORIDES MARCONDES DOS SANTOS FREIRE, Nº 492",JARDIM ESPERENÇA,MOGI DAS CRUZES,SP,8743440,11-47991043,3,não,não,sim,358469,0,0,3,0,0,0,1,1,0,0,0,2,0,0,1,0,0,46,0,0,0,0,0,0,43007
